Title,Genre,Runtime,Rating
La 7ème compagnie au clair de lune,Comedy,75,6.2
"Terra de Pão, Terra de Luta",Documentary,75,
You Never Can Tell,Drama,120,7.3
The Roller Girls,Comedy,30,5.8
Baise-moi partout,Adult,73,4.9
Closed Circuit,"Crime, Mystery, Sci-Fi",88,7.1
Dr. Katzenbergers Badereise,Drama,90,
Der Führerschein,Drama,75,6.9
The Immigrants,Drama,240,8.4
My Way Home,"Biography, Drama",71,7.4
Seeta Aur Geeta,"Adventure, Comedy, Drama",162,6.9
Székács a köbön,,81,5.0
Watership Down,"Animation, Adventure, Drama",91,7.6
Bestia,Drama,105,6.3
Gros câlin,Comedy,95,6.7
Ève avait l'éclat métallique de l'été,,60,
H.O.T.S.,Comedy,98,4.6
Malibu High,"Crime, Drama, Thriller",90,5.0
Erotic Nights of the Living Dead,"Adult, Horror",88,4.2
Die Quelle,Drama,90,7.1
She xing zui bu,Action,90,6.0
Tigers are Better-Looking,Short,21,9.0
Vampire Hookers,"Comedy, Horror",88,3.9
The Visitor,"Horror, Sci-Fi",108,5.2
Knockabout,"Action, Comedy, Drama",92,7.2
Les égouts du paradis,"Action, Crime, Drama",115,6.1
Skag,Drama,60,7.4
9 to 5,Comedy,109,6.9
After Grad with Dad,Short,25,4.6
Eine Anzeige in der Zeitung,Drama,88,
The Blood of Hussain,Drama,112,6.9
Borderline,"Action, Drama",97,6.0
Caddyshack,"Comedy, Sport",98,7.2
Charlotte,"Biography, Drama, War",96,7.1
Pals,Drama,98,6.5
Damy priglashayut kavalerov,"Comedy, Drama, Romance",76,6.6
Denver,Fantasy,82,7.2
Despido improcedente,Comedy,80,5.4
Sweet Inquest on Violence,Drama,98,5.0
L'envers du décor,"Documentary, Short",25,
Voltati Eugenio,Drama,110,7.1
The Ghost Dance,"Horror, Thriller",96,4.3
The Girls in the Office,"Comedy, Romance",100,6.0
Heiße Kartoffeln,Comedy,82,4.5
Kapax del Amazonas,"Adventure, Romance",92,4.9
Hotel Paradise,"Action, Adult, Adventure",101,4.4
L'infermiera nella corsia dei militari,Comedy,89,4.6
The Jayne Mansfield Story,"Biography, Drama",100,5.2
Joe Albany... a Jazz Life,Documentary,57,7.8
Klincz,"Drama, Sport",96,6.9
Zombie Lake,Horror,90,3.1
Leo and Loree,"Romance, Comedy",97,5.1
Look Back in Anger,Drama,100,7.6
Lunch Wagon,"Comedy, Crime, Romance",88,4.7
Martin Eden,Drama,93,6.8
La locandiera,Comedy,109,5.7
La momia nacional,"Comedy, Horror",85,3.8
Death Watch,"Drama, Sci-Fi, Thriller",117,6.6
O bednom gusare zamolvite slovo,"Comedy, Drama, History",167,7.8
Ojciec królowej,"Comedy, History",106,5.9
La paloma azul,,90,
Phoelix,,47,6.3
The Tale of John and Mary,"Animation, Adventure, Family",65,7.1
La ragazza di Via Millelire,,93,5.4
Reiseabrechnung,,60,
Schizoid,"Drama, Horror, Mystery",89,5.1
Serial,Comedy,86,6.5
Sophia Loren: Her Own Story,"Biography, Drama",150,6.7
Kein Kinderspiel,"Crime, Drama, Mystery",80,
Total vereist,,93,6.1
Társkeresés No. 1463,Drama,93,7.5
Do You Want a Nobel Baby?,Comedy,90,4.5
Wie wär's mit uns beiden?,,84,4.6
The Rebellious Reign,Action,86,7.2
Zhong shen da shi,Sci-Fi,100,7.6
Bergerac,"Crime, Drama, Mystery",90,6.8
Collin,Drama,181,7.0
Kessler,"Drama, Thriller",50,6.7
Omni: The New Frontier,Documentary,30,7.8
That's My Boy,Comedy,30,7.3
Aberraciones sexuales de un diputado,,80,5.3
L'alba,Drama,82,
L'amour nu,"Drama, Romance",100,6.2
Bad Girls,"Adult, Adventure, Comedy",82,6.3
The Best Little Girl in the World,Drama,100,6.3
Boldyn,"Biography, Drama, History",119,5.2
Bürgschaft für ein Jahr,Drama,93,6.7
Centerfold Fever,"Adult, Comedy, Drama",79,7.2
Chu Chu and the Philly Flash,Comedy,92,4.2
Corridas de alegría,Comedy,86,5.8
The Dancers,"Adult, Drama, Romance",93,6.7
"Deprisa, Deprisa","Crime, Drama, Romance",99,7.0
Dracula Exotica,"Adult, Comedy, Horror",100,5.6
Egon Schiele: Excess and Punishment,"Biography, Drama",95,5.9
The Entity,"Drama, Horror",125,6.7
Fallen Angel,Drama,100,6.9
Friday the 13th Part 2,"Horror, Mystery, Thriller",87,6.1
Genocide,"Documentary, Drama, History",90,7.3
Dalmasingong,"Action, Drama",100,5.7
Habanera,Drama,108,6.6
Honky Tonk Freeway,"Action, Comedy",107,5.2
Inmates: A Love Story,"Drama, Romance",100,6.0
Junior High School,"Short, Comedy, Drama",39,7.5
King of the Mountain,"Action, Adventure, Drama",90,5.4
Crazy Nuts,"Action, Comedy, Drama",87,3.8
Drunken Dragon,"Action, Comedy, Fantasy",98,7.1
The Munsters' Revenge,"Comedy, Crime, Family",96,5.9
Neighbors,Comedy,94,5.5
Nothing to Hide,"Adult, Comedy, Drama",101,6.0
Othello,"Drama, Romance",195,7.2
Peter-No-Tail,"Animation, Comedy, Drama",81,7.0
Pohádka svatojánské noci,"Comedy, Family",79,6.6
The Weather Forecast,Drama,86,6.6
Demon Rage,Horror,98,3.7
The Shanghai Thirteen,Action,90,6.1
Do You Remember Dolly Bell?,"Comedy, Drama, Romance",110,7.5
Spacy,Short,10,7.4
Tais-toi quand tu parles!,Comedy,89,4.3
Justification,,93,3.8
Un assassin qui passe,Thriller,110,5.8
El vecindario,Action,90,5.9
The Voices of the Neighbourhood,"Short, Documentary",8,
Wie die Weltmeister,Comedy,76,5.1
Young Lust,Comedy,90,5.8
The Confessions of Felix Krull,"Comedy, Crime, Drama",60,6.7
Let There Be Love,Comedy,30,7.6
Report to Murphy,Comedy,30,8.1
"Tom, Dick and Harriet",Comedy,30,8.2
Shocking Africa,Documentary,96,5.1
Amnestia,Drama,87,6.9
Arpa Colla,Comedy,98,6.6
Bare Essence,"Drama, Romance",212,6.0
Bingo Bongo,"Comedy, Family",106,6.0
Bors néni,Family,93,7.4
I camionisti,Comedy,81,5.0
Chispita y sus gorilas,"Comedy, Musical",80,4.4
Canta Gitano,"Short, Musical",10,6.1
Dannys Traum,Drama,90,
Killing of the Flesh,"Horror, Mystery, Thriller",92,4.2
Dirty Looks,Adult,93,6.7
Dusty,Drama,88,6.6
Engler i sneen,"Drama, Romance",86,4.2
Viadukt,"Crime, Drama",105,5.7
Fighting Back,Drama,100,5.2
Five Last Days,"Drama, History",112,6.8
El gran mogollón,Comedy,93,2.9
Gwiezdny pyl,Drama,58,7.2
Help Wanted: Male,"Comedy, Romance",97,6.7
Honeyboy,Drama,100,6.4
El huésped de la niebla,"Short, Documentary",10,5.8
L'indiscrétion,"Crime, Thriller",94,5.8
Jack and the Beanstalk,"Adventure, Comedy, Family",58,
Jägerschlacht,"Adventure, Drama",93,5.0
The Klan: A Legacy of Hate in America,"Documentary, Short",30,6.5
Lookin' to Get Out,Comedy,105,5.1
Macbeth,Drama,148,6.9
Missing,"Biography, Drama, History",122,7.7
Femmes,Drama,86,4.3
Nastojanje,Drama,95,7.0
Not Just Another Affair,"Comedy, Romance",95,5.5
One Shoe Makes It Murder,"Mystery, Thriller",95,6.0
The Prefab People,Drama,102,7.1
Le petit théâtre,"Documentary, Short",30,
Flights in Dreams and in Reality,Drama,92,7.5
Interrogation,"Crime, Drama, Thriller",118,7.9
Rearranged,Short,93,8.1
Roaring Fire,"Action, Comedy, Crime",95,6.6
S.A.S. San Salvador,"Action, Thriller",85,3.2
"Be Gentle, Penguin","Romance, Comedy",94,5.6
Si ringrazia la regione Puglia per averci fornito i milanesi,Comedy,98,4.9
Something So Right,Comedy,120,7.3
Still of the Night,"Crime, Drama, Mystery",93,6.0
Tales of the Gold Monkey: Part 1,"Adventure, Drama, Romance",93,8.3
"Heads I Win, Tails You Lose",Comedy,104,6.6
Toto,Drama,82,5.4
La truite,"Drama, Romance",103,5.9
Vasiliy Buslaev,"Drama, History",81,6.9
Vérszerzödés,Drama,78,7.5
Wild Style,"Drama, Music",82,7.0
Yol,Drama,107,8.0
The 1/2 Hour Comedy Hour,Comedy,30,5.9
Buffalo Bill,Comedy,30,7.2
Just Good Friends,Comedy,92,7.1
Oh Madeline,Comedy,30,7.7
Struggle,Comedy,30,
A Woman of Substance,"Drama, Romance",300,7.5
The Aerodrome,"Drama, Sci-Fi",91,6.6
The Man with the Carnation,"Biography, Drama, History",125,7.7
Aube noire,,90,
Der Bastard,,203,
Big Ball,Short,22,5.3
Boogeyman II,Horror,79,2.1
Cap Canaille,"Action, Crime, Drama",103,4.9
Cindy - Cinderella '80,"Drama, Fantasy, Musical",173,6.5
The City and the Dogs,Drama,135,7.4
In the White City,Drama,108,7.3
La desconocida,Thriller,90,3.8
Doctor Detroit,Comedy,89,5.2
Eddie Murphy: Delirious,Comedy,69,8.1
EPCOT Center: The Opening Celebration,"Comedy, Family, Music",50,7.4
The First Turn-On!!,Comedy,88,4.2
Funny People 2,Comedy,85,5.6
Girls of the White Orchid,"Crime, Drama",98,5.1
Grain of Sand,Comedy,90,6.6
Halo taxi,Thriller,98,6.9
Detenute violente,"Action, Crime, Drama",90,3.3
Omnisphere,,93,8.6
I Married Wyatt Earp,"Drama, Western",100,5.8
Rubberface,"Comedy, Drama",48,3.4
Jimmy the Kid,Comedy,85,4.7
Kerbels Flucht,,105,7.5
Kutya éji dala,Drama,150,7.1
Mercenaries from Hong Kong,"Action, Drama",95,6.7
The Lords of Discipline,Thriller,102,6.6
The Man Who Wasn't There,"Action, Adventure, Comedy",111,3.8
Masoom,"Drama, Family",165,8.4
Miss Lonelyhearts,"Comedy, Drama, Romance",56,
"Murder Me, Murder You","Action, Crime, Mystery",96,7.1
Naughty Boys,Drama,105,6.2
Notturno,"Action, Adventure",112,6.0
One Too Many,"Adventure, Comedy, Drama",30,6.4
Pallavi Anu Pallavi,"Drama, Romance",93,7.4
Permettete signora che ami vostra figlia?,"Comedy, Drama, Romance",102,6.6
The Planets,"Documentary, Music",50,7.9
The Prodigal,Drama,109,5.6
Il ras del quartiere,Comedy,88,6.0
Richard Pryor... Here and Now,"Documentary, Comedy",83,7.2
"Run Rebecca, Run!",Drama,93,5.3
Time for Loving,Comedy,94,6.1
The Second Love,"Drama, Romance",103,4.4
"7, Hyden Park: La casa maledetta","Horror, Mystery, Thriller",96,5.6
Sound of Sunshine - Sound of Rain,"Animation, Short",15,7.0
The Sting II,"Comedy, Crime",101,4.9
Superman III,"Action, Adventure, Comedy",125,5.0
Tell Me That You Love Me,"Comedy, Drama",91,4.3
A Time to Die,"Crime, Drama",91,4.2
The Tragedy of Coriolanus,"Drama, History",145,7.4
U bent mijn moeder,"Biography, Comedy",77,8.0
Uuno Turhapuron muisti palailee pätkittäin,Comedy,90,5.4
"Vitya Glushakov, drug Apachey","Comedy, Family",77,7.0
Where Is Parsifal?,Comedy,82,4.8
Winners & Sinners,"Action, Comedy, Crime",108,6.6
Zachvev strachu,Drama,93,5.9
Últimas tardes con Teresa,Drama,105,5.8
Charlie,,240,6.7
Empire,"Action, Musical",30,7.0
Highway to Heaven,"Drama, Fantasy",60,6.8
Master of the Game,Drama,413,7.3
La piovra,"Action, Crime, Drama",402,8.4
Special Squad,Drama,50,8.1
The Adventures of Buckaroo Banzai Across the 8th Dimension,"Adventure, Comedy, Sci-Fi",103,6.2
The Ambassador,"Action, Drama, Thriller",97,5.3
The Satin Spider,"Crime, Drama, Horror",82,5.2
Bachelor Party,Comedy,105,6.3
Be Somebody... or Be Somebody's Fool!,"Family, Music",52,8.0
Blanche and Marie,"Drama, War",92,5.9
The Boy Who Had Everything,Drama,94,5.9
C.H.U.D.,"Horror, Sci-Fi",88,5.6
A Case of Libel,"Crime, Drama",115,7.9
Code Gray: Ethical Dilemmas in Nursing,"Documentary, Short",26,6.7
Crazy Kung Fu Master,"Action, Comedy",93,7.2
Dark Mirror,"Drama, Thriller",120,5.4
Dangerous Moves,"Drama, Sport, Thriller",100,6.6
De droomproducenten,Documentary,100,5.8
Les enragés,Drama,92,4.9
Fanny Hill,"Comedy, Drama, Romance",98,5.1
The Flamingo Kid,"Comedy, Drama, Romance",100,6.2
Frankenstein 90,"Comedy, Drama, Horror",100,4.5
Girls Nite Out,"Horror, Mystery, Thriller",96,4.9
The Great Gold Swindle,"Crime, Drama",95,7.1
Harry & Son,Drama,120,5.8
The Hit,"Crime, Drama, Thriller",98,7.0
Hum Dono,"Comedy, Family, Musical",156,6.6
In Heaven There Is No Beer?,"Documentary, Music",51,7.0
It Came Upon the Midnight Clear,"Drama, Family",97,7.5
Joy of Sex,"Comedy, Romance",93,3.8
The Karate Kid,"Action, Drama, Family",126,7.3
Kim,"Adventure, Drama, Family",150,5.9
Kun Hunttalan Matti Suomen osti,Comedy,81,5.0
Last of the Great Survivors,Comedy,104,6.6
Verdi,"Biography, Drama, Music",70,8.1
Love Thy Neighbor,Comedy,100,6.6
Mail Order Bride,"Comedy, Drama",86,6.6
Mass Appeal,Drama,99,6.7
Mgla,Drama,63,
The Next One,"Drama, Fantasy, Sci-Fi",105,4.7
No Small Affair,"Comedy, Drama, Music",102,5.5
The Oasis,Drama,92,6.2
Once Upon a Time in America,"Crime, Drama",229,8.3
The Painted Door,"Short, Drama",24,6.0
Perras callejeras,Crime,97,4.4
Police Academy,Comedy,96,6.7
Przeznaczenie,"Biography, Drama",93,6.3
Raaj Tilak,"Action, Drama",93,5.7
Reno and the Doc,"Comedy, Drama",89,6.2
Ryabinovye nochi,Drama,69,
Darlings!,"Comedy, Drama, Thriller",101,6.4
Secrets of a Married Man,Drama,100,5.4
Shanghai Blues,"Comedy, Romance",103,7.2
Sny i marzenia,Drama,97,
Les spécialistes,"Adventure, Crime",94,6.4
Straßenfilm,Short,14,
Sömnen,Drama,97,5.0
Voyage to Cythera,Drama,120,7.7
An Eternal Combat,"Action, Comedy, Fantasy",90,5.6
Torchlight,"Drama, Romance",90,3.8
Ultimatum,Drama,90,4.3
Vamping,Drama,108,5.7
Vocazione,Short,10,
Wenn ich dich nicht hätte,Drama,60,
Wo andere schweigen,"Biography, Drama",106,5.8
Sweet and Naughty,"Adult, Comedy, Romance",81,7.1
Zwei Bilder,Short,9,
Bassmasters,Sport,30,
The Detective,,50,7.1
Hollywood Wives,"Drama, Romance",2,6.3
The Lucie Arnaz Show,Comedy,30,5.7
"North & South: Book 1, North & South","Drama, History, Romance",2,8.1
Schöne Ferien,,60,6.7
Varuhuset,Drama,45,6.1
AD Police Files,"Animation, Crime, Sci-Fi",121,6.7
After Hours,"Comedy, Crime, Drama",97,7.6
American Commandos,Action,88,3.8
Anne of Green Gables,"Drama, Family",199,8.5
